Hash,Filepath,MimeType,Bsize,Size,Processed,Error,Match,Confidence
4ecbb016f601468724b62847d0a9b57c13b6f7aa4759d7187d6b3316a6fce4f0,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\10053.dwg,image/vnd.dwg,115949,113.23 KB,True,False,"[""CUI (first 100 chars)""]",Med
562f7503215f5c25670feae517d161c969873ed0c357a79f96885972c892fe73,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\10009.vsdx,application/octet-stream,33886,33.09 KB,True,False,"[""CONTROLLED//DISEM-A/DISSEM- (first 100 chars)""]",High
4a3bbc340411e7e30d18bf9077409f410891a1d3beee24140bdc0bde54aeb2a0,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\1525.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,108714,106.17 KB,True,False,"[""SF902 or SF903 hash match""]",High
62e3c8e012e6160e5ab1f1c093f6d119084be84efbd1fc2eb95129b8c41fe5ed,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\10175.pdf,application/pdf,2366940,2.26 MB,True,False,"[""CUI Coverpage CV2 detection""]",High
a8aaa95c183ab4dfb3da2be136c486452a2dc4dcca61e080ea586b6f2451d83b,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\10175.zip,application/zip,2195158,2.09 MB,True,False,"[""CUI Coverpage CV2 detection""]",High
37511e75ed3be51898037a74e06d4c8262404db3e13dfc333fadb047d7cc4ada,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\1831.xls,application/vnd.ms-excel,314880,307.5 KB,True,False,[],None
7dd49f0474117a411da5ac9e82e5ef0dd23e153e8f941ff9aa3d9eee40cffdc0,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\2302.msg,application/vnd.ms-office,178176,174.0 KB,True,False,"[""CUI//SP-CEII (first 100 chars)"", ""CUI//SP-EXPT (first 250 chars)""]",High
f4d86805c7dc65c284aeff0da000ba2e99d5e1dc9c1b31f4b321bc9a316fc5fe,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\1901.xls,application/vnd.ms-excel,291328,284.5 KB,True,False,"[""CUI (first 100 chars)""]",Med
58cc4d25a488835d3387cf6c014518d19ed59cf48eebcb492d2204c0009d14ce,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\2401.gz,application/x-gzip,167117,163.2 KB,True,False,"[""CUI (first 100 chars)""]",Med
6d5672a7f013c4ba7b9b0c626ca8a02ef66d2dbc78be5eba74fd6592ce0aa469,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\2077.pptx,application/zip,15140198,14.44 MB,True,False,"[""CUI""]",Low
45c9d4e78736de16c3eda8ce5033508119e0e3f1e5b71f3db1c3f01327bd997b,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\2035_tp.odp,application/vnd.oasis.opendocument.presentation,15005352,14.31 MB,True,False,"[""CUI Coverpage CV2 detection""]",High
f368ae9c18dc3c83b4590d72fe4fdb2159741132a063e7eaaad424036002d5b5,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\2136.ppt,application/CDFV2,18907136,18.03 MB,True,False,"[""CUI Coverpage CV2 detection""]",High
e0ba94beebfe4fa125f825b9ca94849a9928618eb06607320c3ef5a0f89633e9,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\2401.html,text/html,441427,431.08 KB,True,False,"[""CUI (first 100 chars)""]",Med
14cc883ace94ceec43fc2535164d5ba73847921a5dbf71a1571a1a77d5414186,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\2401_2.odt,application/vnd.oasis.opendocument.text,499108,487.41 KB,True,False,"[""CUI (first 100 chars)""]",Med
ab4ac355382e9171105b2af4df2e85dfb1d2af7c9eed9ef09411e553b1b0e6be,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\2424.txt,text/plain,449075,438.55 KB,True,False,"[""CUI//DISSEM-A/DISSEC- (first 100 chars)""]",High
ab4ac355382e9171105b2af4df2e85dfb1d2af7c9eed9ef09411e553b1b0e6be,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\2424_lnk.txt,text/plain,449075,438.55 KB,True,False,"[""CUI//DISSEM-A/DISSEC- (first 100 chars)""]",High
f64d66675bbe7a8dc9d471c49e139d2c30a0e534fdcc5a87d49d30aea5b53ccb,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\462.tar,application/x-tar,26624,26.0 KB,True,False,"[""CUI"", ""CUI Designation Indicator match""]",High
