Hash,Filepath,MimeType,Bsize,Size,Processed,Error,Match,Confidence
4ecbb016f601468724b62847d0a9b57c13b6f7aa4759d7187d6b3316a6fce4f0,C:\Users\ladmin\Downloads\lib_test_data\all_type\10053.dwg,image/vnd.dwg,115949,113.23 KB,False,True,[],None
562f7503215f5c25670feae517d161c969873ed0c357a79f96885972c892fe73,C:\Users\ladmin\Downloads\lib_test_data\all_type\10009.vsdx,application/octet-stream,33886,33.09 KB,True,False,"[""CONTROLLED//DISEM-A/DISSEM- (first 100 chars)""]",Med
a8aaa95c183ab4dfb3da2be136c486452a2dc4dcca61e080ea586b6f2451d83b,C:\Users\ladmin\Downloads\lib_test_data\all_type\10175.zip,application/zip,2195158,2.09 MB,True,False,"[""CUI Coverpage CV2 detection""]",High
5f5d23da5a5813ab165e9bfaf2f6324ab62ddce04027253cf6401799c67b442d,C:\Users\ladmin\Downloads\lib_test_data\all_type\1525.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,111863,109.24 KB,False,True,[],None
62e3c8e012e6160e5ab1f1c093f6d119084be84efbd1fc2eb95129b8c41fe5ed,C:\Users\ladmin\Downloads\lib_test_data\all_type\10175.pdf,application/pdf,2366940,2.26 MB,True,False,"[""CUI Coverpage CV2 detection""]",High
ff3cb9a3135624ed8787795e3e2022697605de58d76b7cc53aefe5fce6dd76ab,C:\Users\ladmin\Downloads\lib_test_data\all_type\1901.xls,application/vnd.ms-excel,292864,286.0 KB,True,False,"[""CUI (first 100 chars)""]",Med
b0b98d979419e47877970980fc762d067265837c81ba7e06cbf1f6e9db13756b,C:\Users\ladmin\Downloads\lib_test_data\all_type\1831.xls,application/vnd.ms-excel,316416,309.0 KB,True,False,[],None
45c9d4e78736de16c3eda8ce5033508119e0e3f1e5b71f3db1c3f01327bd997b,C:\Users\ladmin\Downloads\lib_test_data\all_type\2035_tp.odp,application/vnd.oasis.opendocument.presentation,15005352,14.31 MB,True,False,"[""CUI Coverpage CV2 detection""]",High
95fb39cd249c950395fa3ff3bd625a1ea1567b536eff492c36f62cacec1666c5,C:\Users\ladmin\Downloads\lib_test_data\all_type\2077.pptx,application/zip,15144123,14.44 MB,True,False,"[""CUI (first 250 chars) x2"", ""CUI x15""]",Med
6fcb32c115f0528e915f687de5534ea3999520cc8c354e6a11b2af71dfd862d4,C:\Users\ladmin\Downloads\lib_test_data\all_type\2302.msg,application/vnd.ms-office,179712,175.5 KB,True,False,"[""CUI//SP-CEII (first 100 chars)"", ""CUI//SP-EXPT (first 250 chars)""]",High
